timestamp,x,y,z
1540109828499502,0.751953,-0.647461,0.0908203
1540109828523437,0.737305,-0.490234,0.0966797
1540109828545396,0.714355,-0.336914,0.0766602
1540109828568316,0.745117,-0.525391,-0.0263672
1540109828582663,0.730957,-0.782715,0.0219727
1540109828607221,0.681152,-0.861328,0.050293
1540109828651099,0.651367,-0.86084,0.0722656
1540109828660074,0.685547,-0.844727,0.0966797
1540109828661068,0.687988,-0.868164,0.10498
1540109828674034,0.686035,-0.874512,0.0380859
1540109828695976,0.681152,-0.863281,0.0161133
1540109828713928,0.616211,-0.904785,-0.034668
1540109828735869,0.541992,-0.907715,-0.0336914
1540109828787730,0.495117,-0.927246,-0.0786133
1540109828787730,0.457031,-0.939453,-0.074707
1540109828794711,0.379395,-0.977051,-0.0991211
1540109828814658,0.31543,-1.00146,-0.125977
1540109828831612,0.255859,-1.01465,-0.147461
1540109828861532,0.206055,-0.994141,-0.154297
1540109828884470,0.119141,-1.06055,-0.179199
1540109828899431,0.0898438,-1.11426,-0.187988
1540109828921373,0.0610352,-1.12061,-0.20459
1540109828943367,0.0869141,-1.13965,-0.209473
1540109828959271,0.112793,-1.11816,-0.21875
1540109828982209,0.0351563,-1.11035,-0.219238
1540109829003153,-0.0375977,-1.1499,-0.274414
1540109829019110,-0.0380859,-1.12939,-0.318359
1540109829042053,-0.0742188,-1.06689,-0.327148
1540109829062993,-0.168457,-1.05957,-0.32373
1540109829078954,-0.203125,-1.02881,-0.350586
1540109829101889,-0.26709,-0.994629,-0.401367
1540109829122835,-0.345703,-0.950684,-0.392578
1540109829145805,-0.444336,-0.832031,-0.292969
1540109829161740,-0.535645,-0.807129,-0.271973
1540109829183200,-0.549805,-0.791504,-0.266113
1540109829198678,-0.611328,-0.590332,-0.161621
1540109829223567,-0.728516,-0.408203,-0.127441
1540109829244546,-0.681152,-0.409668,-0.144531
1540109829249495,-0.632324,-0.460449,-0.186523
1540109829272439,-0.621582,-0.429199,-0.172852
1540109829294434,-0.916992,-0.282715,-0.171387
1540109829318441,-0.849609,-0.348145,-0.0253906
1540109829332273,-0.808594,-0.357422,0.0615234
1540109829364189,-0.893066,-0.252441,0.0708008
1540109829370172,-0.887695,-0.181641,0.00683594
1540109829392606,-0.798828,-0.244629,0.101074
1540109829424028,-0.790527,-0.245605,0.166504
1540109829430011,-0.847656,-0.00439453,0.204102
1540109829452137,-0.979492,0.00244141,0.193848
1540109829474892,-0.797852,-0.228027,0.37207
1540109829490007,-0.782227,-0.163086,0.396484
1540109829512790,-0.834961,-0.0151367,0.358887
1540109829534734,-0.805664,-0.0830078,0.296875
1540109829549746,-0.817871,-0.190918,0.282227
1540109829572633,-0.822754,-0.137695,0.263184
1540109829594572,-0.826172,-0.0947266,0.222168
1540109829609862,-0.799316,-0.119629,0.196289
1540109829632472,-0.757813,-0.166504,0.174805
1540109829647430,-0.783691,-0.192871,0.179199
1540109829669372,-0.855469,-0.169922,0.17627
1540109829701288,-0.865234,-0.188965,0.190918
1540109829707270,-0.768066,-0.275391,0.231445
1540109829730209,-0.70459,-0.313477,0.159668
1540109829752150,-0.783203,-0.3125,0.0561523
1540109829770142,-0.810059,-0.291016,-0.00439453
1540109829790048,-0.702148,-0.356445,0.0170898
1540109829812147,-0.571289,-0.48877,-0.0410156
1540109829829942,-0.581055,-0.553223,-0.137695
1540109829849889,-0.657227,-0.490234,-0.201172
1540109829872833,-0.64502,-0.508789,-0.243652
1540109829890843,-0.509277,-0.652832,-0.241699
1540109829909736,-0.419434,-0.790527,-0.286621
1540109829932730,-0.374512,-0.880371,-0.328125
1540109829950620,-0.23291,-0.890625,-0.351563
1540109829977599,-0.00927734,-1.00732,-0.358398
1540109829992507,0.17334,-1.10742,-0.385742
1540109830010460,0.288574,-1.16455,-0.316895
1540109830029408,0.195801,-1.26758,-0.337891
1540109830052349,0.0756836,-1.354,-0.407715
1540109830070300,0.125,-1.22363,-0.408691
1540109830097277,0.230469,-1.27197,-0.370117
1540109830112240,0.271484,-1.19141,-0.38623
1540109830130258,0.395996,-1.19141,-0.396484
1540109830150153,0.418457,-1.14648,-0.286621
1540109830175020,0.354492,-1.09277,-0.308105
1540109830189981,0.44873,-0.956543,-0.337891
1540109830210001,0.608887,-0.796875,-0.322754
1540109830231866,0.630859,-0.932129,-0.264648
1540109830250039,0.546875,-0.884277,-0.296875
1540109830269765,0.60498,-0.829102,-0.285156
1540109830291796,0.658203,-0.740234,-0.0258789
1540109830310657,0.606445,-0.640137,0.0922852
1540109830331603,0.681152,-0.681641,0.0341797
1540109830352543,0.665039,-0.62793,-0.0517578
1540109830370496,0.708496,-0.625977,-0.0898438
1540109830391441,0.720215,-0.697754,-0.13623
1540109830412389,0.699219,-0.781738,-0.172852
1540109830430342,0.727051,-0.731445,-0.149902
1540109830451282,0.73584,-0.643555,-0.110352
1540109830472257,0.703125,-0.641602,-0.0449219
