timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1540109828662066,-2,0,1,-1,-18,-26,-16,-5
1540109828662066,1,-4,-7,-6,-7,-15,-4,0
1540109828662066,0,0,1,2,4,36,4,3
1540109828662066,4,12,15,16,33,46,19,2
1540109828666055,1,1,4,11,50,25,8,4
1540109828666055,4,9,18,15,0,-13,-9,-1
1540109828667093,2,-6,-10,-10,-21,-43,-11,0
1540109828667093,-1,2,5,-4,-20,-25,-11,1
1540109828673036,-2,0,0,-5,-14,-5,4,0
1540109828673036,-2,-7,-8,-3,-2,-15,2,0
1540109828681016,-1,1,4,1,-7,-3,-4,0
1540109828681016,-3,-4,-3,-6,-14,-14,-6,-2
1540109828688005,-1,0,2,0,6,2,5,-2
1540109828688005,-1,1,-2,-1,-1,9,6,-1
1540109828701959,1,4,3,5,22,3,3,3
1540109828701959,-2,-9,-20,-6,-7,-1,-5,-3
1540109828711932,-4,-1,-3,-7,-33,-46,-12,-2
1540109828711932,-4,1,-1,-1,3,17,-7,0
1540109828733874,0,-2,2,7,43,64,38,7
1540109828733874,7,5,11,11,39,21,8,7
1540109828735107,2,-7,-18,-3,-10,1,-7,-4
1540109828735107,-2,-1,-8,-17,-32,-40,-14,-2
1540109828746839,-3,5,1,-11,-26,-35,-12,-4
1540109828746839,-6,-5,-2,3,9,-7,0,-12
1540109828788727,5,4,-3,0,10,2,12,4
1540109828788727,5,10,6,9,9,19,6,2
1540109828789725,-4,-13,-7,-5,-7,-19,-11,-6
1540109828789725,-1,3,1,-1,-4,-22,-2,1
1540109828793713,0,13,8,5,4,60,-5,0
1540109828793713,7,-11,-20,-7,19,18,25,7
1540109828794711,-3,3,-2,-1,8,-8,-5,-3
1540109828794711,-7,-3,-5,-5,-13,-14,-13,-2
1540109828799697,8,-1,5,2,0,-10,1,6
1540109828799697,-2,7,1,-2,-9,0,6,-22
1540109828807682,12,5,7,4,-2,5,-1,33
1540109828807682,-15,8,4,-3,-3,-15,0,-25
1540109828822636,-4,-14,-1,-3,-4,-15,-9,-10
1540109828822636,-11,-6,8,12,4,8,-10,0
1540109828830616,-11,-11,-22,-22,-10,-4,3,-10
1540109828830616,21,12,12,8,1,4,3,19
1540109828837596,-11,6,3,0,-8,4,3,-4
1540109828837596,-4,3,4,5,9,-3,6,4
1540109828860534,38,10,5,6,12,11,0,3
1540109828860534,-43,-2,-11,-9,0,22,0,-6
1540109828867518,3,-19,-30,-12,-11,-24,-2,-16
1540109828867518,-13,-1,10,0,-7,-15,-6,0
1540109828883473,2,9,5,4,-3,-2,0,25
1540109828883473,22,-13,-3,11,9,7,4,-12
1540109828885475,8,-1,-10,-9,-6,-14,-8,-29
1540109828885475,-32,11,-3,-2,-14,-10,-17,13
1540109828898433,5,12,-14,-13,3,21,19,-21
1540109828898433,24,-36,15,14,14,6,1,29
1540109828900428,-43,-6,-9,5,2,-6,-1,2
1540109828900428,25,-5,-3,-5,-8,-11,-12,-16
1540109828921373,-47,13,19,13,2,1,4,-16
1540109828921373,5,-17,-38,-16,-7,3,3,42
1540109828922369,56,18,-3,-18,3,2,4,-14
1540109828922369,41,13,12,7,15,3,2,-2
1540109828934338,-10,-3,0,13,-4,-4,-10,-9
1540109828934338,-30,7,-14,-18,-5,6,1,-14
1540109828949297,3,-12,28,31,16,3,3,11
1540109828949297,36,6,-27,-26,-9,-1,7,21
1540109828958274,-45,12,23,17,13,8,9,2
1540109828958274,55,2,32,5,-2,-1,-2,-25
1540109828960297,-61,-14,-8,-6,-4,7,10,9
1540109828960297,10,0,11,-8,-7,-9,-7,-22
1540109828981212,10,-16,-41,-26,-13,0,6,-13
1540109828981212,-4,15,-10,1,6,3,-1,52
1540109828982209,18,28,28,24,10,5,7,26
1540109828982209,-14,-4,-17,-22,-13,-1,2,-34
1540109828994403,9,-7,10,14,10,4,-12,-20
1540109828994403,-17,-8,-20,-15,0,3,1,-30
1540109829004153,-4,22,7,-11,-4,-5,-1,-14
1540109829004153,-55,-2,9,20,3,-2,-2,69
1540109829018114,15,-5,-12,-16,-13,-9,-2,-23
1540109829018114,-15,-10,24,17,9,4,-7,31
1540109829020160,36,-14,-23,-8,-6,-9,19,-20
1540109829020160,-5,46,24,6,4,6,4,9
1540109829041052,1,-44,-11,0,5,6,9,36
1540109829041052,26,35,8,7,-1,-2,-9,-11
1540109829043047,-45,-12,-2,-12,-10,-6,-17,33
1540109829043047,43,2,7,1,3,3,4,-16
1540109829055014,-7,-1,12,3,-11,-9,1,-14
1540109829055014,28,-6,-14,-6,5,3,8,18
1540109829063990,-67,7,2,19,8,-2,-15,-26
1540109829063990,-3,-50,-58,-31,-28,-11,-2,-20
1540109829077953,23,29,23,21,19,2,-5,67
1540109829077953,6,21,18,20,14,6,7,-14
1540109829084935,-14,-17,-5,-8,-6,0,-1,-26
1540109829084935,-14,-19,37,34,22,8,2,29
1540109829101181,-7,24,19,4,-1,4,3,-26
1540109829101181,15,15,-15,-25,-19,-12,-12,1
1540109829102907,20,3,9,0,2,-3,0,2
1540109829102907,5,-6,0,4,11,11,13,51
1540109829114854,-64,6,48,20,12,5,-6,-9
1540109829114854,60,4,-18,-14,-18,-8,-33,-15
1540109829123832,-62,-32,-22,-22,-27,-17,15,-31
1540109829123832,-15,-6,22,31,13,11,9,7
1540109829137794,45,-1,-17,-2,18,3,0,-12
1540109829137794,-47,5,-5,-29,-5,-3,8,-16
1540109829145805,9,0,0,15,14,-8,-22,11
1540109829145805,55,-6,3,20,-5,-4,-7,-1
1540109829160799,-44,32,1,19,5,-9,3,5
1540109829160799,-24,5,-40,-22,-14,7,3,-43
1540109829162727,32,-11,-1,-11,4,6,4,37
1540109829162727,-30,-4,-32,-23,-30,-30,-29,18
1540109829174743,13,-67,-9,6,14,18,4,-62
1540109829174743,22,7,49,18,2,-15,4,-14
1540109829183670,6,24,4,10,11,14,4,20
1540109829183670,-43,12,-8,-13,9,8,19,17
1540109829197635,19,4,-4,1,-18,-11,-15,16
1540109829197635,-16,-34,-44,-23,-6,-7,-3,-6
1540109829204617,12,1,17,5,0,4,-16,-4
1540109829204617,22,-5,11,-6,-14,-17,2,-33
1540109829222791,39,-12,-9,-12,-17,-9,-17,24
1540109829222791,-15,7,18,36,20,9,52,22
1540109829223567,27,17,-5,27,17,10,-9,-2
1540109829223567,13,6,-4,-38,12,24,-5,-13
1540109829243513,-24,4,-4,-13,-19,-20,-6,-9
1540109829243513,-5,-10,8,-15,-6,-4,-14,-4
1540109829245508,-16,-21,-41,-12,0,10,13,18
1540109829245508,29,33,18,18,17,8,8,-19
1540109829257473,14,-7,-4,-4,-6,-5,-1,5
1540109829257473,-85,-20,10,36,12,-1,-19,7
1540109829264456,-1,-3,17,-31,-17,-4,28,-10
1540109829264456,15,41,7,18,11,4,-38,-7
1540109829280413,-19,-29,-4,-13,1,8,61,27
1540109829280413,1,12,5,7,-2,2,5,5
1540109829281410,2,17,27,12,-8,-13,-25,-19
1540109829281410,14,-16,-26,-17,-20,-8,19,0
1540109829302353,-7,31,16,8,17,19,3,1
1540109829302353,44,-12,-4,14,4,12,12,39
1540109829310333,0,-9,4,-16,7,1,-8,-21
1540109829310333,-16,-3,0,14,-27,-11,-3,17
1540109829318441,3,30,3,-14,-19,-9,-13,-19
1540109829318441,58,-30,-14,-16,-4,2,-7,1
1540109829324515,5,7,-3,11,9,8,27,30
1540109829324515,-25,-29,7,19,11,-2,-11,-36
